csd_code,year,muni_id,MUNID,LOCALID,muni_name,turnout,turnout_noavg,intvoting,total_treats,VBM,phonevoting,paper_ballots_eliminated,adv_only,p_int_votes,p_phone_votes,p_paper_votes,no_reg_barrier,winner,second_place,margin,compet,cd_csd_code,cd_name,cd_code,subd_name,census_subd_code,pop,area_kmsq,pop_den,p_uni,unemploy,p_65_plus,median_inc,p_imm
15013,2014,m063,15012,15012,Cavan-Monaghan,0.472,0.472,1,1,0,1,1,0,0.814,0.186,0,1,0.65,0.32,0.33,0.67,3515013,Peterborough,3515,Cavan-Monaghan,13,8785.657534,306.2323288,28.68951678,0.018623113,5.866666667,0.177498535,32012.66667,0.083320678
10035,2000,m065,10025,10025,Central Frontenac,0.507,0.507,0,1,1,0,0,0,,,,,0.411,0.371,0.04,0.96,3510035,Frontenac County,3510,Central Frontenac,35,4557,970.18,4.697066524,0.080291971,6.2,0.18542901,16564,0.041248606
10035,2003,m065,10025,10025,Central Frontenac,0.519,0.519,0,1,1,0,1,0,,,,,0.535,0.4649,0.0701,0.9299,3510035,Frontenac County,3510,Central Frontenac,35,4611,970.125,4.752995748,0.08122815,5.65,0.189177528,18049,0.055759438
10035,2006,m065,10025,10025,Central Frontenac,0.516,0.516,0,1,1,0,1,0,,,,,0.415,0.354,0.061,0.939,3510035,Frontenac,3510,Central Frontenac,35,4665,970.07,4.808931314,0.082164329,5.1,0.192926045,19534,0.07027027
10035,2010,m065,10025,10025,Central Frontenac,0.46,0.46,0,1,1,0,1,0,,,,,0.5178,0.3509,0.1669,0.8331,3510035,Frontenac,3510,Central Frontenac,35,4556,1025.17,4.444140972,0.083412568,4.366666667,0.228320527,21514,0.089618046
10035,2014,m065,10025,10025,Central Frontenac,0.44,0.44,1,1,0,1,1,0,0.617,0.383,0,1,0.6483,0.3517,0.2966,0.7034,3510035,Frontenac,3510,Central Frontenac,35,4603.205479,1032.654658,4.457642684,0.084660806,3.633333333,0.237482449,23494,0.108965822
40025,2000,m066,40025,40025,Central Huron,0.372,0.372,0,1,0,0,0,0,,,,,0.6,0.4,0.2,0.8,3540025,Huron County,3540,Central Huron,25,7806,447.6,17.43967828,0.080631025,5.2,0.154368435,21087,0.104583602
40025,2003,m066,40025,40025,Central Huron,0.174,0.174,0,1,0,0,0,0,,,,,NA,NA,1,0,3540025,Huron County,3540,Central Huron,25,7723.5,447.6,17.25536193,0.082613493,4.45,0.166785264,23193.5,0.100880114
40025,2006,m066,40025,40025,Central Huron,0.182,0.182,0,1,0,0,0,0,,,,,NA,NA,1,0,3540025,Huron,3540,Central Huron,25,7641,447.6,17.07104558,0.08459596,3.7,0.179202093,25300,0.097176625
40025,2010,m066,40025,40025,Central Huron,0.378,0.378,0,1,0,0,0,0,,,,,0.604,0.396,0.208,0.792,3540025,Huron,3540,Central Huron,25,7591,450.33,16.85652744,0.088917526,5.2,0.214097497,26893,0.091029024
40025,2014,m066,40025,40025,Central Huron,0.284,0.284,1,1,0,1,1,0,0.78,0.22,0,1,NA,NA,1,0,3540025,Huron,3540,Central Huron,25,7489.219178,450.7039726,16.61671437,0.091790717,4.542465753,0.233165547,29535.13699,0.085925338
2010,2000,m071,2005,2005,Champlain,0.714,0.714,0,4,0,1,1,0,,,,,0.678,0.321,0.357,0.643,3502010,Prescott and Russell United Counties,3502,Champlain,10,8591,207.18,41.46635776,0.122204473,5.3,0.129786986,21181,0.032563647
2010,2003,m071,2005,2005,Champlain,0.504,0.504,1,4,0,1,1,0,,,,,NA,NA,1,0,3502010,Prescott and Russell United Counties,3502,Champlain,10,8637,207.165,41.6914054,0.108233384,5.35,0.145826673,23373,0.044463114
2010,2006,m071,2005,2005,Champlain,0.313,0.313,1,4,0,1,1,0,,,,,NA,NA,1,0,3502010,Prescott and Russell,3502,Champlain,10,8683,207.15,41.91648564,0.094262295,5.4,0.161866359,25565,0.05636258
2010,2010,m071,2005,2005,Champlain,0.517,0.517,1,4,0,1,1,0,,,,,NA,NA,1,0,3502010,Prescott and Russell,3502,Champlain,10,8573,207.24,41.36749662,0.144230769,6.3,0.196032672,30669,0.065281899
2010,2014,m071,2005,2005,Champlain,0.439,0.439,1,4,0,1,1,0,0.532,0.468,0,1,NA,NA,1,0,3502010,Prescott and Russell,3502,Champlain,10,8610.863014,207.2350685,41.55118666,0.134999444,6.480821918,0.219169614,33890.47945,0.08019626
36020,2000,m075,36003,36003,Chatham-Kent,0.517,0.517,0,1,0,0,0,0,,,,,0.453,0.354,0.099,0.901,3536020,Chatham-Kent Division,3536,Chatham-Kent,20,107341,2457.97,43.67058996,0.093542666,8.3,0.137692028,23038,0.098075465
36020,2003,m075,36003,36003,Chatham-Kent,0.442,0.442,0,1,0,0,0,0,,,,,0.47,0.17,0.3,0.7,3536020,Chatham-Kent Division,3536,Chatham-Kent,20,107759,2458.015,43.83984638,0.082215273,7.75,0.148462377,24417.5,0.101621234
36020,2006,m075,36003,36003,Chatham-Kent,0.456,0.456,0,1,0,0,0,0,,,,,0.31,0.25,0.06,0.94,3536020,Chatham-Kent,3536,Chatham-Kent,20,108177,2458.06,44.0090966,0.07088788,7.2,0.159232725,25797,0.105167002
36020,2010,m075,36003,36003,Chatham-Kent,0.399,0.399,0,1,0,0,0,0,,,,,0.4087,0.34,0.0687,0.9313,3536020,Chatham-Kent,3536,Chatham-Kent,20,103671,2458.09,42.17542889,0.079778393,10.2,0.179270763,26221,0.085513375
36020,2014,m075,36003,36003,Chatham-Kent,0.421,0.421,1,1,0,0,0,0,0.224,0,0.776,0,0.29,0.24,0.05,0.95,3536020,Chatham-Kent,3536,Chatham-Kent,20,103534.726,2458.14589,42.11903225,0.067962011,9.978082192,0.194408977,27866.45205,0.08690116
2036,2000,m078,2036,2036,Clarence-Rockland,0.441,0.441,0,4,0,1,1,0,,,,,NA,NA,1,0,3502036,Prescott and Russell United Counties,3502,Clarence-Rockland,36,19612,296.53,66.13833339,0.102238806,3.2,0.069855191,28336,0.033862985
2036,2003,m078,2036,2036,Clarence-Rockland,0.445,0.445,1,4,0,1,1,0,,,,,0.62,0.38,0.24,0.76,3502036,Prescott and Russell United Counties,3502,Clarence-Rockland,36,20201,296.53,68.12464169,0.094280371,3.6,0.082546643,30761.5,0.033545224
2036,2006,m078,2036,2036,Clarence-Rockland,0.553,0.553,1,4,0,1,1,0,,,,,0.738,0.263,0.475,0.525,3502036,Prescott and Russell,3502,Clarence-Rockland,36,20790,296.53,70.11094999,0.086321935,4,0.095238095,33187,0.033227462
2036,2010,m078,2036,2036,Clarence-Rockland,0.546,0.546,1,4,0,1,1,0,,,,,0.51,0.44,0.07,0.93,3502036,Prescott and Russell,3502,Clarence-Rockland,36,23185,297.86,77.83858188,0.114611006,4.5,0.117964201,40242,0.053798858
2036,2014,m078,2036,2036,Clarence-Rockland,0.432,0.432,1,4,0,1,1,0,0.954,0.046,0,1,0.72,0.28,0.44,0.56,3502036,Prescott and Russell,3502,Clarence-Rockland,36,24190.83562,298.0421918,81.16580901,0.109328569,5.028767123,0.135681229,43999.42466,0.056251214
43005,2000,m080,43030,43030,Clearview,0.35,0.35,0,1,0,0,0,0,,,,,0.531,0.469,0.062,0.938,3543005,Simcoe County,3543,Clearview,5,13796,557.32,24.75418072,0.096689438,3.7,0.122499275,23728,0.088038633
43005,2003,m080,43030,43030,Clearview,0.38,0.38,0,1,1,0,1,0,,,,,0.59,0.41,0.18,0.82,3543005,Simcoe County,3543,Clearview,5,13942,557.32,25.01614871,0.080339273,4.05,0.135593144,24384.5,0.083426403
43005,2006,m080,43030,43030,Clearview,0.408,0.408,0,1,1,0,1,0,,,,,0.451,0.419,0.032,0.968,3543005,Simcoe,3543,Clearview,5,14088,557.32,25.2781167,0.063989108,4.4,0.148687012,25041,0.078814172
43005,2010,m080,43030,43030,Clearview,0.448,0.448,0,1,1,0,1,0,,,,,0.683,0.405,0.278,0.722,3543005,Simcoe,3543,Clearview,5,13734,557.44,24.63762916,0.114326041,7.7,0.163815071,31356,0.071137458
43005,2014,m080,43030,43030,Clearview,0.418,0.418,1,1,0,1,1,0,0.7,0.3,0,1,0.57,0.43,0.14,0.86,3543005,Simcoe,3543,Clearview,5,13853.50685,557.4564384,24.85128146,0.102407623,8.554794521,0.180954325,32976.49315,0.064778629
14021,2000,m082,14021,14021,Cobourg,0.529,0.529,0,3,0,0,0,0,,,,,0.7,0.3,0.4,0.6,3514021,Northumberland County,3514,Cobourg,21,17172,22.37,767.6352257,0.124649299,6.8,0.19129979,23550,0.111575179
14021,2003,m082,14021,14021,Cobourg,0.365,0.365,0,3,0,0,0,0,,,,,NA,NA,1,0,3514021,Northumberland County,3514,Cobourg,21,17691,22.37,790.835941,0.118137258,6.75,0.217835508,25325,0.126360729
14021,2006,m082,14021,14021,Cobourg,0.449,0.449,1,3,0,1,0,0,,,,,0.695,0.305,0.39,0.61,3514021,Northumberland,3514,Cobourg,21,18210,22.37,814.0366562,0.111625217,6.7,0.244371225,27100,0.141146279
14021,2010,m082,14021,14021,Cobourg,0.473,0.473,1,3,0,1,1,0,,,,,0.694,0.306,0.388,0.612,3514021,Northumberland,3514,Cobourg,21,18519,22.37,827.8497988,0.120313374,8.7,0.264578834,31122,0.124369748
14021,2014,m082,14021,14021,Cobourg,0.524,0.524,1,3,0,1,1,0,0.869,0.131,0,1,0.52,0.24,0.28,0.72,3514021,Northumberland,3514,Cobourg,21,19158.53425,22.37,856.4387236,0.114010225,8.916438356,0.29788125,33715.42466,0.139085103
