csd_code,year,muni_id,MUNID,LOCALID,muni_name,intvoting,paper_ballots_eliminated,adv_only,p_int_votes,no_reg_barrier,cd_csd_code,cd_name,cd_code,subd_name,census_subd_code,pop,area_kmsq,pop_den,p_uni,unemploy,p_65_plus,median_inc,p_imm
1020,2000,m339,1016,1016,South Dundas,0,1,0,0,0,3501020,"Stormont, Dundas and Glengarry United Counties",3501,South Dundas,20,10783,519.99,20.73693725,0.08524173,6.8,0.150236483,21192,0.073866293
10020,2000,m340,10013,10013,South Frontenac,0,0,0,0,0,3510020,Frontenac County,3510,South Frontenac,20,16415,941.29,17.43883394,0.133277098,4.8,0.10569601,25525,0.067682927
1005,2000,m341,1002,1002,South Glengarry,0,0,0,0,0,3501005,"Stormont, Dundas and Glengarry United Counties",3501,South Glengarry,5,12700,604.92,20.99451167,0.10802139,4.8,0.148031496,21987,0.072050673
1011,2000,m344,1009,1009,South Stormont,0,0,0,0,0,3501011,"Stormont, Dundas and Glengarry United Counties",3501,South Stormont,11,11941,447.45,26.68678065,0.088600118,5.3,0.122686542,26104,0.048325562
39005,2000,m347,39003,39003,Southwest Middlesex,0,0,0,0,0,3539005,Middlesex County,3539,Southwest Middlesex,5,6144,427.92,14.35782389,0.070601852,4.1,0.13264974,22275,0.104958678
43009,2000,m350,43040,43040,Springwater,0,0,0,0,0,3543009,Simcoe County,3543,Springwater,9,16104,536.3,30.02796942,0.134321653,5,0.102459016,25967,0.094569288
11030,2000,m358,11023,11023,Stone Mills,0,0,0,0,0,3511030,Lennox and Addington County,3511,Stone Mills,30,7337,688.33,10.65913152,0.082386364,6.1,0.104947526,23988,0.058099795
31011,2000,m359,31011,31011,Stratford,0,0,0,0,0,3531011,Perth County,3531,Stratford,11,29676,21.92,1353.832117,0.134841838,4.8,0.143381857,25677,0.117374914
39015,2000,m360,39013,39013,Strathroy-Caradoc,0,0,0,0,0,3539015,Middlesex County,3539,Strathroy-Caradoc,15,19114,273.61,69.8585578,0.087739033,5.5,0.131578947,23156,0.162631579
9015,2000,m365,9010,9010,Tay Valley,0,0,0,0,0,3509015,Lanark County,3509,Bathurst Burgess Sherbrooke,15,5440,527.58,10.31123242,0.134048257,4.4,0.124080882,22498,0.062135922
37048,2000,m366,37043,37043,Tecumseh,0,0,0,0,0,3537048,Essex County,3537,Tecumseh,48,25105,120.31,208.669271,0.211139528,3.8,0.088627763,31855,0.168597683
39027,2000,m371,39025,39025,Thames Centre,0,1,0,0,0,3539027,Middlesex County,3539,Thames Centre,27,12473,433.8,28.75288151,0.110285714,3.2,0.108634651,29554,0.103807615
49005,2000,m372,49005,49005,The Archipelago,0,1,0,0,0,3549005,Parry Sound District,3549,The Archipelago,5,505,602.61,0.838021274,0.05952381,14.3,0.316831683,18362,0.193877551
2025,2000,m373,2011,2011,The Nation,0,1,0,0,0,3502025,Prescott and Russell United Counties,3502,The Nation Municipality,25,10599,657.32,16.12456642,0.089521166,3.4,0.073591848,24503,0.051873199
56027,2000,m379,56027,56027,Timmins,0,0,0,0,0,3556027,Cochrane District,3556,Timmins,27,43686,2961.52,14.75120884,0.092756896,11.2,0.10632697,20648,0.048275064
43064,2000,m392,43064,43064,Wasaga Beach,0,0,0,0,0,3543064,Simcoe County,3543,Wasaga Beach,64,12419,58.45,212.4721985,0.057524397,6.3,0.219019245,20524,0.199757869
34042,2000,m398,34035,34035,West Elgin,0,0,0,0,0,3534042,Elgin County,3534,West Elgin,42,5464,322.52,16.94158502,0.064102564,7.5,0.150073206,20095,0.172191529
31025,2000,m402,31017,31017,West Perth,0,0,0,0,0,3531025,Perth County,3531,West Perth,25,9129,579.4,15.75595444,0.086743044,2.6,0.125972177,24081,0.065591996
49039,2000,m407,49039,49039,Whitestone,0,1,0,0,0,3549039,Parry Sound District,3549,Whitestone,39,853,946.62,0.901100758,0.06122449,8,0.234466589,20799,0.125
47056,2000,m408,47050,47050,Whitewater Region,0,0,0,0,0,3547056,Renfrew County,3547,Whitewater Region,56,6520,537.96,12.11986021,0.072210066,4.9,0.15107362,19263,0.051643192
11035,2014,m001,11033,11033,Addington Highlands,1,1,0,0.628,1,3511035,Lennox and Addington,3511,Addington Highlands,35,2598.027397,1335.390822,1.945518387,0.086182337,0,0.30908133,17918,0.09094216
39047,2014,m002,39010,39010,Adelaide-Metcalfe,1,1,0,0.76,1,3539047,Middlesex,3539,Adelaide-Metcalfe,47,2997.39726,331.0627397,9.053864723,0.063147696,5.782191781,0.156643937,32656.65753,0.135500892
18005,2014,m005,18005,18005,Ajax,1,1,0,0.923,1,3518005,Durham,3518,Ajax,5,121705.726,67.06726027,1814.681642,0.179013001,9.590410959,0.093044137,37626.23288,0.379105333
47002,2014,m014,47002,47002,Arnprior,1,1,0,0.732,1,3547002,Renfrew,3547,Arnprior,2,8225.39726,13.04575342,630.5038117,0.082035464,9.219178082,0.245743347,30534.67123,0.044818135
7006,2014,m021,7006,7006,Augusta,1,0,0,0.627,1,3507006,Leeds and Grenville,3507,Augusta,6,7347.123288,314.8217808,23.33740464,0.096046168,5.139726027,0.187664653,31140.64384,0.088207066
12005,2014,m029,12005,12005,Belleville,1,0,0,0.2,0,3512005,Hastings,3512,Belleville,5,51171.80822,250.1310959,204.5799545,0.098852764,7.45890411,0.202522885,29590.19178,0.074815857
29006,2014,m042,29006,29006,Brantford,1,0,0,0.151,0,3529006,Brant,3529,Brantford,6,96295.61644,72.99356164,1319.234385,0.098186537,8.120547945,0.159763751,31690.24658,0.125117356
41032,2014,m046,41030,41030,Brockton,1,1,0,0.831,1,3541032,Bruce,3541,Brockton,32,9393.589041,565.4565753,16.61239687,0.063231852,5.689041096,0.19982069,35731.35616,0.041677324
7015,2014,m047,7015,7015,Brockville,1,1,0,0.861,1,3507015,Leeds and Grenville,3507,Brockville,15,22192.93151,20.92767123,1060.458723,0.091342158,7.302739726,0.236429163,28980.83562,0.082083317
24002,2014,m052,24002,24002,Burlington,1,0,1,0.187,0,3524002,Halton,3524,Burlington,2,185148.2877,185.6663014,997.2099746,0.211941681,6.424657534,0.181552117,41246.41096,0.225690635
30010,2014,m057,30006,30006,Cambridge,1,0,1,0.203,0,3530010,Waterloo,3530,Cambridge,10,133374.411,113.0421918,1179.863986,0.108037973,8.973972603,0.130400091,34216.27397,0.203277626
49036,2014,m059,49036,49036,Carling,1,1,0,0.788,1,3549036,Parry Sound,3549,Carling,36,1299.643836,249.1065753,5.217220115,0,7.432876712,0.253167009,39556.27397,0.120780901
2044,2014,m062,2044,2044,Casselman,1,1,0,0.774,1,3502044,Prescott and Russell,3502,Casselman,44,3892.410959,5.259041096,740.1370113,0.15474078,5.098630137,0.165933685,41909.50685,0.031057845
15013,2014,m063,15012,15012,Cavan-Monaghan,1,1,0,0.814,1,3515013,Peterborough,3515,Cavan-Monaghan,13,8785.657534,306.2323288,28.68951678,0.018623113,5.866666667,0.177498535,32012.66667,0.083320678
10035,2014,m065,10025,10025,Central Frontenac,1,1,0,0.617,1,3510035,Frontenac,3510,Central Frontenac,35,4603.205479,1032.654658,4.457642684,0.084660806,3.633333333,0.237482449,23494,0.108965822
40025,2014,m066,40025,40025,Central Huron,1,1,0,0.78,1,3540025,Huron,3540,Central Huron,25,7489.219178,450.7039726,16.61671437,0.091790717,4.542465753,0.233165547,29535.13699,0.085925338
2010,2014,m071,2005,2005,Champlain,1,1,0,0.532,1,3502010,Prescott and Russell,3502,Champlain,10,8610.863014,207.2350685,41.55118666,0.134999444,6.480821918,0.219169614,33890.47945,0.08019626
36020,2014,m075,36003,36003,Chatham-Kent,1,0,0,0.224,0,3536020,Chatham-Kent,3536,Chatham-Kent,20,103534.726,2458.14589,42.11903225,0.067962011,9.978082192,0.194408977,27866.45205,0.08690116
2036,2014,m078,2036,2036,Clarence-Rockland,1,1,0,0.954,1,3502036,Prescott and Russell,3502,Clarence-Rockland,36,24190.83562,298.0421918,81.16580901,0.109328569,5.028767123,0.135681229,43999.42466,0.056251214
